1304,51,1354,51,1354,101,1304,101
1427,51,1479,51,1479,101,1427,101
2110,51,2148,51,2148,91,2110,91
958,56,1019,56,1019,117,958,117
1382,56,1422,56,1422,108,1382,108
1483,58,1514,58,1514,110,1483,110
1613,54,1709,54,1709,127,1613,127
2063,58,2115,58,2115,94,2063,94
1154,58,1198,58,1198,101,1154,101
1351,61,1384,61,1384,103,1351,103
1983,58,2037,58,2037,101,1983,101
2037,61,2065,61,2065,96,2037,96
2171,61,2209,61,2209,98,2171,98
713,61,772,61,772,115,713,115
1017,63,1048,63,1048,117,1017,117
1198,61,1250,61,1250,117,1198,117
1512,61,1559,61,1559,120,1512,120
1761,61,1815,61,1815,127,1761,127
1950,63,1983,63,1983,101,1950,101
327,65,369,65,369,101,327,101
777,63,821,63,821,105,777,105
1045,65,1081,65,1081,113,1045,113
1078,63,1123,63,1123,105,1078,105
1123,65,1154,65,1154,103,1123,103
1250,63,1295,63,1295,122,1250,122
1554,63,1620,63,1620,127,1554,127
1702,63,1761,63,1761,127,1702,127
1815,63,1870,63,1870,127,1815,127
664,65,706,65,706,117,664,117
821,65,876,65,876,108,821,108
880,65,960,65,960,120,880,120
409,68,473,68,473,113,409,113
369,73,412,73,412,117,369,117
532,77,579,77,579,113,532,113
1436,134,1500,134,1500,193,1436,193
1406,141,1429,141,1429,188,1406,188
1493,138,1559,138,1559,211,1493,211
1375,143,1408,143,1408,190,1375,190
1316,150,1375,150,1375,193,1316,193
600,153,661,153,661,230,600,230
746,153,807,153,807,211,746,211
1615,153,1674,153,1674,207,1615,207
419,153,532,153,532,228,419,228
572,157,605,157,605,209,572,209
1561,155,1613,155,1613,233,1561,233
527,157,569,157,569,211,527,211
899,157,951,157,951,214,899,214
800,160,864,160,864,221,800,221
857,160,899,160,899,226,857,226
949,162,982,162,982,219,949,219
661,162,704,162,704,211,661,211
697,162,746,162,746,228,697,228
1672,162,1731,162,1731,214,1672,214
1726,162,1773,162,1773,214,1726,214
179,159,275,177,263,239,168,221
266,171,303,171,303,223,266,223
303,169,353,169,353,211,303,211
346,167,419,167,419,233,346,233
977,169,1038,169,1038,233,977,233
1036,171,1092,171,1092,233,1036,233
320,256,388,256,388,313,320,313
390,259,471,259,471,322,390,322
1785,256,1853,256,1853,334,1785,334
960,261,1017,261,1017,348,960,348
1848,261,1903,261,1903,334,1848,334
1898,261,1957,261,1957,320,1898,320
468,263,511,263,511,332,468,332
697,263,746,263,746,339,697,339
1684,263,1747,263,1747,313,1684,313
1740,263,1787,263,1787,315,1740,315
506,263,628,263,628,353,506,353
1606,266,1662,266,1662,334,1606,334
793,266,880,266,880,343,793,343
937,270,968,270,968,322,937,322
1015,268,1074,268,1074,341,1015,341
1660,270,1693,270,1693,320,1660,320
2086,268,2138,268,2138,317,2086,317
621,268,701,268,701,346,621,346
1959,273,1983,273,1983,317,1959,317
746,273,803,273,803,341,746,341
1502,273,1556,273,1556,329,1502,329
1547,275,1608,275,1608,348,1547,348
1987,277,2009,277,2009,308,1987,308
2004,277,2044,277,2044,315,2004,315
2044,275,2089,275,2089,320,2044,320
2140,277,2173,277,2173,315,2140,315
1321,277,1361,277,1361,332,1321,332
1448,277,1493,277,1493,341,1448,341
2171,277,2221,277,2221,322,2171,322
1076,280,1118,280,1118,327,1076,327
1175,287,1217,287,1217,325,1175,325
1860,374,1921,374,1921,428,1860,428
1234,379,1278,379,1278,431,1234,431
1757,379,1804,379,1804,442,1757,442
329,381,381,381,381,449,329,449
1919,383,1950,383,1950,431,1919,431
1811,383,1858,383,1858,435,1811,435
1947,383,1992,383,1992,433,1947,433
1992,383,2039,383,2039,431,1992,431
1408,386,1462,386,1462,440,1408,440
633,388,690,388,690,445,633,445
379,390,419,390,419,452,379,452
1283,393,1314,393,1314,442,1283,442
2039,390,2091,390,2091,433,2039,433
2093,393,2124,393,2124,433,2093,433
270,393,327,393,327,461,270,461
419,393,475,393,475,447,419,447
1726,395,1757,395,1757,449,1726,449
2126,395,2166,395,2166,428,2126,428
475,395,529,395,529,442,475,442
1333,395,1380,395,1380,438,1333,438
1382,398,1415,398,1415,440,1382,440
1676,395,1724,395,1724,447,1676,447
2199,398,2221,398,2221,421,2199,421
532,400,555,400,555,438,532,438
553,398,591,398,591,442,553,442
963,400,1000,400,1000,431,963,431
1022,400,1064,400,1064,435,1022,435
1307,400,1333,400,1333,435,1307,435
1582,398,1639,398,1639,456,1582,456
1641,400,1674,400,1674,449,1641,449
2171,400,2192,400,2192,433,2171,433
591,400,633,400,633,447,591,447
687,402,713,402,713,449,687,449
993,402,1015,402,1015,428,993,428
1069,402,1106,402,1106,435,1069,435
1102,402,1125,402,1125,433,1102,433
1132,405,1187,405,1187,438,1132,438
