808,30,848,30,848,85,808,85
2111,35,2167,35,2167,101,2111,101
545,50,580,50,580,85,545,85
591,50,636,50,636,85,591,85
1656,45,1707,45,1707,116,1656,116
2460,45,2510,45,2510,111,2460,111
636,50,681,50,681,90,636,90
757,55,798,55,798,85,757,85
863,55,899,55,899,95,863,95
899,50,954,50,954,121,899,121
995,50,1055,50,1055,116,995,116
1060,55,1121,55,1121,85,1060,85
1126,55,1172,55,1172,90,1126,90
1172,50,1222,50,1222,90,1172,90
1227,55,1283,55,1283,95,1227,95
1323,50,1369,50,1369,95,1323,95
1808,50,1864,50,1864,95,1808,95
1970,50,2015,50,2015,101,1970,101
3369,50,3414,50,3414,116,3369,116
959,60,990,60,990,106,959,106
1278,55,1323,55,1323,95,1278,95
1374,60,1409,60,1409,101,1374,101
1404,55,1454,55,1454,101,1404,101
1606,55,1656,55,1656,101,1606,101
1747,55,1803,55,1803,95,1747,95
1909,60,1965,60,1965,95,1909,95
2020,55,2081,55,2081,126,2020,126
2081,60,2111,60,2111,111,2081,111
1490,60,1555,60,1555,131,1490,131
1555,60,1601,60,1601,106,1555,106
2172,65,2207,65,2207,106,2172,106
1444,65,1490,65,1490,111,1444,111
2283,65,2349,65,2349,141,2283,141
2399,65,2450,65,2450,111,2399,111
3768,65,3819,65,3819,141,3768,141
2217,70,2273,70,2273,116,2217,116
3268,70,3319,70,3319,121,3268,121
3319,70,3369,70,3369,121,3319,121
4016,70,4066,70,4066,146,4016,146
3061,75,3121,75,3121,116,3061,116
3121,80,3157,80,3157,121,3121,121
3157,75,3212,75,3212,116,3157,116
3212,75,3268,75,3268,121,3212,121
3430,75,3500,75,3500,116,3430,116
3677,75,3723,75,3723,126,3677,126
3728,75,3773,75,3773,131,3728,131
3505,80,3566,80,3566,151,3505,151
3571,80,3622,80,3622,141,3571,141
3819,85,3849,85,3849,126,3819,126
3975,80,4026,80,4026,141,3975,141
4061,80,4142,80,4142,166,4061,166
4319,80,4364,80,4364,126,4319,126
4521,80,4566,80,4566,146,4521,146
3622,85,3667,85,3667,151,3622,151
3859,85,3910,85,3910,131,3859,131
4142,85,4208,85,4208,131,4142,131
4208,85,4258,85,4258,131,4208,131
4258,85,4304,85,4304,131,4258,131
4369,85,4430,85,4430,131,4369,131
4475,85,4521,85,4521,136,4475,136
4672,85,4758,85,4758,161,4672,161
3910,90,3965,90,3965,166,3910,166
4435,95,4475,95,4475,131,4435,131
4612,95,4667,95,4667,166,4612,166
4763,95,4844,95,4844,146,4763,146
4849,95,4950,95,4950,171,4849,171
4950,106,4986,106,4986,151,4950,151
4986,101,5036,101,5036,146,4986,146
5203,101,5243,101,5243,151,5203,151
5031,106,5077,106,5077,151,5031,151
5082,111,5142,111,5142,141,5082,141
5304,106,5349,106,5349,146,5304,146
5349,106,5400,106,5400,146,5349,146
5395,106,5435,106,5435,151,5395,151
5435,106,5496,106,5496,146,5435,146
5496,111,5521,111,5521,141,5496,141
1172,141,1227,141,1227,191,1172,191
1065,146,1116,146,1116,191,1065,191
1222,146,1267,146,1267,191,1222,191
1005,151,1055,151,1055,197,1005,197
1121,156,1166,156,1166,186,1121,186
1267,151,1318,151,1318,197,1267,197
1323,156,1363,156,1363,191,1323,191
1379,156,1429,156,1429,191,1379,191
1439,151,1500,151,1500,191,1439,191
1500,151,1550,151,1550,197,1500,197
1555,156,1601,156,1601,191,1555,191
949,161,990,161,990,191,949,191
1768,156,1813,156,1813,202,1768,202
1656,161,1707,161,1707,227,1656,227
1707,161,1758,161,1758,222,1707,222
1823,161,1894,161,1894,232,1823,232
1894,161,1949,161,1949,222,1894,222
1949,161,2005,161,2005,202,1949,202
2005,161,2056,161,2056,202,2005,202
2061,166,2096,166,2096,202,2061,202
2091,161,2146,161,2146,202,2091,202
2146,166,2212,166,2212,207,2146,207
2207,161,2253,161,2253,207,2207,207
2253,161,2303,161,2303,202,2253,202
2308,166,2354,166,2354,202,2308,202
2409,161,2475,161,2475,207,2409,207
2354,166,2404,166,2404,217,2354,217
2485,171,2530,171,2530,207,2485,207
2535,166,2581,166,2581,212,2535,212
2985,176,3026,176,3026,212,2985,212
3026,171,3071,171,3071,217,3026,217
3071,176,3116,176,3116,217,3071,217
3111,176,3167,176,3167,217,3111,217
3167,176,3207,176,3207,217,3167,217
3207,176,3248,176,3248,217,3207,217
3248,181,3283,181,3283,222,3248,222
3283,181,3324,181,3324,217,3283,217
3374,186,3414,186,3414,217,3374,217
3414,181,3455,181,3455,232,3414,232
3566,181,3617,181,3617,222,3566,222
3622,186,3667,186,3667,217,3622,217
3672,186,3718,186,3718,222,3672,222
3728,186,3778,186,3778,217,3728,217
3894,186,3945,186,3945,222,3894,222
3783,186,3844,186,3844,257,3783,257
3839,186,3889,186,3889,257,3839,257
4016,186,4061,186,4061,237,4016,237
4061,186,4112,186,4112,257,4061,257
4137,186,4192,186,4192,232,4137,232
4192,191,4223,191,4223,232,4192,232
4223,191,4273,191,4273,222,4223,222
4278,191,4309,191,4309,222,4278,222
4309,186,4359,186,4359,232,4309,232
3955,197,3985,197,3985,242,3955,242
3985,197,4016,197,4016,237,3985,237
4112,197,4137,197,4137,247,4112,247
4359,191,4410,191,4410,257,4359,257
4435,191,4536,191,4536,262,4435,262
4531,191,4592,191,4592,232,4531,232
4597,191,4652,191,4652,232,4597,232
4652,191,4698,191,4698,232,4652,232
5142,197,5178,197,5178,237,5142,237
4410,202,4440,202,4440,257,4410,257
4819,197,4874,197,4874,252,4819,252
4869,197,4950,197,4950,267,4869,267
5026,202,5077,202,5077,237,5026,237
5082,202,5127,202,5127,237,5082,237
4945,202,4991,202,4991,267,4945,267
4991,207,5021,207,5021,262,4991,262
5178,207,5208,207,5208,247,5178,247
5208,202,5263,202,5263,267,5208,267
5274,202,5319,202,5319,242,5274,242
5319,207,5364,207,5364,242,5319,242
5450,212,5501,212,5501,242,5450,242
1202,212,1252,212,1252,287,1202,287
1146,222,1197,222,1197,287,1146,287
328,242,368,242,368,282,328,282
434,242,479,242,479,282,434,282
484,247,530,247,530,282,484,282
530,247,575,247,575,282,530,282
373,252,419,252,419,282,373,282
570,252,606,252,606,277,570,277
601,252,626,252,626,282,601,282
687,252,737,252,737,282,687,282
793,252,868,252,868,287,793,287
873,252,914,252,914,287,873,287
1091,247,1141,247,1141,287,1091,287
1257,252,1308,252,1308,287,1257,287
1308,247,1363,247,1363,293,1308,293
2283,247,2333,247,2333,298,2283,298
2439,247,2515,247,2515,323,2439,323
2970,247,3015,247,3015,303,2970,303
1363,252,1414,252,1414,318,1363,318
1414,252,1470,252,1470,298,1414,298
1470,252,1510,252,1510,293,1470,293
1515,257,1550,257,1550,298,1515,298
1560,257,1611,257,1611,298,1560,298
1616,262,1651,262,1651,298,1616,298
1737,257,1788,257,1788,303,1737,303
1793,262,1828,262,1828,298,1793,298
1884,262,1919,262,1919,303,1884,303
1914,257,1960,257,1960,298,1914,298
1949,257,1995,257,1995,303,1949,303
1995,257,2045,257,2045,303,1995,303
2096,257,2177,257,2177,303,2096,303
2227,262,2273,262,2273,298,2227,298
2344,262,2394,262,2394,298,2344,298
2394,257,2439,257,2439,303,2394,303
3020,262,3051,262,3051,308,3020,308
3283,257,3339,257,3339,323,3283,323
3445,257,3531,257,3531,328,3445,328
1833,267,1884,267,1884,298,1833,298
2051,267,2101,267,2101,298,2051,298
2182,267,2227,267,2227,303,2182,303
2520,262,2571,262,2571,303,2520,303
2571,267,2601,267,2601,303,2571,303
5082,262,5127,262,5127,343,5082,343
3051,267,3096,267,3096,313,3051,313
3096,272,3127,272,3127,318,3096,318
3127,267,3182,267,3182,313,3127,313
3182,267,3228,267,3228,313,3182,313
3228,267,3278,267,3278,313,3228,313
3526,272,3556,272,3556,308,3526,308
4066,267,4112,267,4112,323,4066,323
2899,277,2930,277,2930,303,2899,303
3339,272,3399,272,3399,323,3339,323
3399,272,3450,272,3450,333,3399,333
3561,272,3606,272,3606,313,3561,313
3606,272,3657,272,3657,313,3606,313
3758,272,3809,272,3809,323,3758,323
4016,272,4066,272,4066,328,4016,328
3657,277,3713,277,3713,318,3657,318
3718,282,3763,282,3763,318,3718,318
3798,277,3844,277,3844,328,3798,328
3844,277,3894,277,3894,323,3844,323
3955,277,4021,277,4021,353,3955,353
3899,287,3950,287,3950,323,3899,323
4112,287,4142,287,4142,328,4112,328
4142,282,4198,282,4198,323,4142,323
4203,287,4243,287,4243,323,4203,323
4248,287,4299,287,4299,323,4248,323
4304,287,4354,287,4354,323,4304,323
4738,282,4784,282,4784,333,4738,333
5026,282,5077,282,5077,358,5026,358
4415,293,4460,293,4460,323,4415,323
4455,293,4491,293,4491,318,4455,318
4688,287,4733,287,4733,328,4688,328
4632,298,4672,298,4672,328,4632,328
4784,298,4819,298,4819,338,4784,338
4814,293,4859,293,4859,343,4814,343
4864,293,4915,293,4915,358,4864,358
4920,293,4965,293,4965,338,4920,338
4981,293,5026,293,5026,343,4981,343
5132,298,5162,298,5162,343,5132,343
5218,293,5268,293,5268,338,5218,338
5263,293,5314,293,5314,338,5263,338
5162,298,5218,298,5218,338,5162,338
5314,298,5375,298,5375,338,5314,338
5375,298,5425,298,5425,348,5375,348
5430,308,5501,308,5501,343,5430,343
5501,308,5526,308,5526,338,5501,338
560,318,616,318,616,378,560,378
404,328,459,328,459,378,404,378
823,333,879,333,879,388,823,388
879,333,924,333,924,388,879,388
500,343,555,343,555,383,500,383
793,343,828,343,828,388,793,388
348,343,399,343,399,383,348,383
464,348,495,348,495,388,464,388
732,343,788,343,788,383,732,383
929,343,980,343,980,404,929,404
1050,348,1101,348,1101,383,1050,383
1106,348,1151,348,1151,383,1106,383
1515,343,1571,343,1571,388,1515,388
1566,343,1611,343,1611,383,1566,383
