11095,641,11558,714,11436,1480,10973,1406
7610,810,8147,810,8147,1610,7610,1610
9200,947,9494,947,9494,1463,9200,1463
9494,926,9978,926,9978,1431,9494,1431
9957,905,11021,905,11021,1936,9957,1936
8147,957,8463,957,8463,1694,8147,1694
8452,968,8778,968,8778,1621,8452,1621
8800,968,9189,968,9189,1557,8800,1557
5147,968,5673,968,5673,1715,5147,1715
5757,989,6210,989,6210,1547,5757,1547
6252,1042,6736,1042,6736,1557,6252,1557
6802,1079,7556,1096,7545,1603,6791,1586
2715,1094,3263,1094,3263,1610,2715,1610
1768,1126,2021,1126,2021,1578,1768,1578
5616,2067,6817,2532,6475,3413,5275,2947
6989,2294,7484,2294,7484,3157,6989,3157
11200,2336,11736,2336,11736,2831,11200,2831
4094,2389,4547,2389,4547,3273,4094,3273
6568,2400,6968,2400,6968,3336,6568,3336
7473,2410,7810,2410,7810,3252,7473,3252
2200,2400,3021,2400,3021,3347,2200,3347
3673,2431,3947,2431,3947,2915,3673,2915
8936,2431,9736,2431,9736,3463,8936,3463
3294,2463,3673,2463,3673,3052,3294,3052
0,2463,631,2463,631,3442,0,3442
2947,2494,3252,2494,3252,3157,2947,3157
1578,2501,2165,2563,2055,3605,1469,3544
4642,2515,5484,2515,5484,3473,4642,3473
1073,2536,1536,2536,1536,3094,1073,3094
642,2568,1000,2568,1000,3252,642,3252
7821,2557,8378,2557,8378,3410,7821,3410
8421,2589,8873,2589,8873,3442,8421,3442
6817,3652,7415,3548,7485,3951,6887,4055
831,3642,1263,3642,1263,4031,831,4031
1210,3800,1884,3800,1884,4673,1210,4673
2147,3873,2684,3873,2684,4810,2147,4810
7610,3915,8136,3915,8136,5178,7610,5178
2705,4021,3105,4021,3105,4894,2705,4894
1884,4052,2178,4052,2178,4715,1884,4715
4960,4048,5387,4024,5436,4904,5009,4928
6147,4073,6768,4073,6768,5147,6147,5147
6821,4073,7357,4073,7357,4642,6821,4642
663,4084,1147,4084,1147,4526,663,4526
4213,4117,4962,4034,5074,5043,4325,5126
8157,4094,8736,4094,8736,5000,8157,5000
3578,4094,4263,4094,4263,5336,3578,5336
3126,4147,3578,4147,3578,4968,3126,4968
5973,4192,6187,4182,6216,4819,6002,4829
7357,4200,7631,4200,7631,4715,7357,4715
5452,4189,6052,4189,6052,5105,5452,5105
11221,4200,11557,4200,11557,4915,11221,4915
8768,4284,9231,4284,9231,4957,8768,4957
9189,4281,9726,4331,9615,5503,9078,5452
9968,4357,10147,4357,10147,4747,9968,4747
9736,4368,9978,4368,9978,4726,9736,4726
642,4600,1052,4600,1052,5000,642,5000
6863,4631,7263,4631,7263,5200,6863,5200
1284,4905,1631,4905,1631,5347,1284,5347
1284,5673,1800,5673,1800,6673,1284,6673
6526,5694,7010,5694,7010,6684,6526,6684
10347,5694,10778,5694,10778,6484,10347,6484
7031,5726,7526,5726,7526,6536,7031,6536
2231,5842,2873,5842,2873,6578,2231,6578
1810,5894,2200,5894,2200,6747,1810,6747
4326,5905,4873,5905,4873,6589,4326,6589
10831,5936,11105,5936,11105,6610,10831,6610
2852,5947,3273,5947,3273,6568,2852,6568
705,5968,1263,5968,1263,6821,705,6821
11315,6000,11621,6000,11621,6473,11315,6473
11600,6021,11778,6021,11778,6494,11600,6494
7642,6021,7957,6021,7957,6442,7642,6442
7936,6031,8126,6031,8126,6463,7936,6463
3294,6021,3884,6021,3884,6610,3294,6610
8200,6021,8673,6021,8673,6515,8200,6515
11084,6042,11315,6042,11315,6515,11084,6515
4852,6031,5389,6031,5389,6736,4852,6736
3915,6052,4315,6052,4315,6663,3915,6663
9821,6073,10105,6073,10105,6515,9821,6515
8705,6073,9273,6073,9273,6557,8705,6557
5957,6094,6442,6094,6442,6905,5957,6905
9484,6105,9810,6105,9810,6557,9484,6557
9326,6126,9536,6126,9536,6463,9326,6463
5410,6126,6000,6126,6000,6936,5410,6936
7642,6705,7926,6705,7926,6978,7642,6978
