280,69,370,69,370,129,280,129
988,70,1100,70,1100,136,988,136
649,76,725,76,725,134,649,134
748,76,825,76,825,138,748,138
56,77,129,77,129,201,56,201
384,80,472,71,482,174,394,183
920,77,978,77,978,141,920,141
132,77,214,77,214,157,132,157
545,78,633,78,633,137,545,137
835,81,910,74,922,201,847,208
221,81,261,81,261,161,221,161
484,84,525,84,525,150,484,150
180,222,277,222,277,316,180,316
862,262,949,262,949,321,862,321
793,266,828,266,828,314,793,314
965,266,998,266,998,317,965,317
48,268,80,268,80,305,48,305
534,259,608,270,587,413,513,403
1021,266,1102,266,1102,318,1021,318
289,270,324,270,324,312,289,312
98,270,146,270,146,345,98,345
472,273,505,273,505,318,472,318
700,272,770,272,770,341,700,341
353,288,427,250,480,357,406,394
688,342,736,342,736,400,688,400
858,388,988,388,988,506,858,506
653,429,718,429,718,509,653,509
802,452,844,452,844,505,802,505
458,454,528,454,528,518,458,518
41,456,132,456,132,570,41,570
135,460,227,455,230,513,139,517
390,456,449,456,449,520,390,520
733,457,785,457,785,504,733,504
1004,456,1081,456,1081,512,1004,512
242,461,266,461,266,502,242,502
550,462,633,457,636,507,552,512
345,461,385,461,385,510,345,510
777,462,805,462,805,500,777,500
289,462,346,462,346,509,289,509
1096,466,1134,466,1134,501,1096,501
546,518,609,518,609,578,546,578
156,625,249,625,249,693,156,693
518,628,605,628,605,688,518,688
253,632,310,632,310,697,253,697
320,632,406,632,406,706,320,706
34,636,96,636,96,672,34,672
676,634,753,634,753,689,676,689
884,634,960,634,960,684,884,684
1020,634,1100,634,1100,684,1020,684
616,636,661,636,661,686,616,686
476,637,524,637,524,692,476,692
413,638,468,638,468,700,413,700
968,640,1002,640,1002,680,968,680
126,642,153,642,153,685,126,685
